optimizer,epochs,lr,activation,loss,acc
Adagrad,100,0.05,sigmoid,0.26421138644218445,0.9253000020980835
Adagrad,100,0.05,hard_sigmoid,,0.8809000253677368
Adagrad,100,0.05,tanh,7.723433017730713,0.12439999729394913
Adagrad,100,0.05,linear,,0.09799999743700027
Adagrad,100,0.05,relu,,0.09799999743700027
Adagrad,100,0.05,softmax,0.2640756070613861,0.9258000254631042
RMSprop,100,0.05,sigmoid,0.7082701921463013,0.9057000279426575
RMSprop,100,0.05,hard_sigmoid,,0.31040000915527344
RMSprop,100,0.05,tanh,,0.09799999743700027
RMSprop,100,0.05,linear,10.521894454956055,0.3741999864578247
RMSprop,100,0.05,relu,,0.09799999743700027
RMSprop,100,0.05,softmax,0.7485817074775696,0.9042999744415283
SGD,100,0.01,sigmoid,0.2986004948616028,0.9156000018119812
SGD,100,0.01,hard_sigmoid,1.5577622652053833,0.5278000235557556
SGD,100,0.01,tanh,,0.09799999743700027
SGD,100,0.01,linear,7.696488380432129,0.16840000450611115
SGD,100,0.01,relu,,0.09799999743700027
SGD,100,0.01,softmax,0.29853811860084534,0.9185000061988831
Adam,100,0.01,sigmoid,0.3472730219364166,0.921500027179718
Adam,100,0.01,hard_sigmoid,,0.8425999879837036
Adam,100,0.01,tanh,,0.09799999743700027
Adam,100,0.01,linear,11.848461151123047,0.2890999913215637
Adam,100,0.01,relu,,0.09799999743700027
Adam,100,0.01,softmax,0.3652852773666382,0.9154999852180481
Adadelta,100,0.01,sigmoid,0.36570486426353455,0.9036999940872192
Adadelta,100,0.01,hard_sigmoid,,0.6751999855041504
Adadelta,100,0.01,tanh,7.6873459815979,0.04610000178217888
Adadelta,100,0.01,linear,7.4171037673950195,0.04349999874830246
Adadelta,100,0.01,relu,,0.09799999743700027
Adadelta,100,0.01,softmax,0.3675631284713745,0.9049999713897705
Adagrad,100,0.01,sigmoid,0.28012725710868835,0.9221000075340271
Adagrad,100,0.01,hard_sigmoid,,0.8740000128746033
Adagrad,100,0.01,tanh,7.528980255126953,0.12319999933242798
Adagrad,100,0.01,linear,,0.09799999743700027
Adagrad,100,0.01,relu,,0.09799999743700027
Adagrad,100,0.01,softmax,0.28114745020866394,0.9225999712944031
RMSprop,100,0.01,sigmoid,0.4031694233417511,0.9074000120162964
RMSprop,100,0.01,hard_sigmoid,,0.325300008058548
RMSprop,100,0.01,tanh,,0.09799999743700027
RMSprop,100,0.01,linear,9.817523002624512,0.3151000142097473
RMSprop,100,0.01,relu,,0.09799999743700027
RMSprop,100,0.01,softmax,0.42508241534233093,0.9039000272750854
SGD,100,0.02,sigmoid,0.2823890149593353,0.9204000234603882
SGD,100,0.02,hard_sigmoid,1.3799139261245728,0.2838999927043915
SGD,100,0.02,tanh,,0.09799999743700027
SGD,100,0.02,linear,,0.09799999743700027
SGD,100,0.02,relu,,0.09799999743700027
SGD,100,0.02,softmax,0.28236234188079834,0.9204999804496765
Adam,100,0.02,sigmoid,0.39366692304611206,0.9175999760627747
Adam,100,0.02,hard_sigmoid,,0.817799985408783
Adam,100,0.02,tanh,,0.09799999743700027
Adam,100,0.02,linear,,0.09799999743700027
Adam,100,0.02,relu,,0.09799999743700027
Adam,100,0.02,softmax,0.3974132537841797,0.9150999784469604
Adadelta,100,0.02,sigmoid,0.3180473744869232,0.9138000011444092
Adadelta,100,0.02,hard_sigmoid,,0.5108000040054321
Adadelta,100,0.02,tanh,8.111119270324707,0.07970000058412552
Adadelta,100,0.02,linear,7.867214202880859,0.05339999869465828
Adadelta,100,0.02,relu,,0.09799999743700027
Adadelta,100,0.02,softmax,0.3186362385749817,0.9146000146865845
Adagrad,100,0.02,sigmoid,0.26985278725624084,0.9246000051498413
Adagrad,100,0.02,hard_sigmoid,,0.8865000009536743
Adagrad,100,0.02,tanh,7.021997451782227,0.1412999927997589
Adagrad,100,0.02,linear,,0.09799999743700027
Adagrad,100,0.02,relu,,0.09799999743700027
Adagrad,100,0.02,softmax,0.26977384090423584,0.9254000186920166
RMSprop,100,0.02,sigmoid,0.6854299306869507,0.8450000286102295
RMSprop,100,0.02,hard_sigmoid,,0.35089999437332153
RMSprop,100,0.02,tanh,,0.09799999743700027
RMSprop,100,0.02,linear,,0.09799999743700027
RMSprop,100,0.02,relu,,0.09799999743700027
